Company,JobID,Published Title,Inferred Title,Known Name
Big Fish Games,7e8ce32fdc3d9696,Data Analyst,Data Analyst,N
Prosper,cf0ff2d35b25e8b6,Senior Data Scientist,Data Scientist,N
Honor,a607b741f72dd860,Data Analyst,Data Analyst,N
DocuSign,3055d6248edc3a0e,Data Analyst,Data Analyst,N
University of California San Francisco,0f4891b668f77d7d,Data Analyst,Data Analyst,N
Atreca,7b19dad1a5dd82fc,Data Analyst,Data Analyst,N
XDIN,500db86bc945f92d,Data Analyst,Data Analyst,N
Cisco Meraki,798005f45f4dcb5b,Data Analyst,Data Analyst,N
Doximity,a7182d43f60e532b,Data Analyst,Data Analyst,N
Unify Conuslting,f60b68dde90e5412,Data Analyst,Data Analyst,N
Blue Owl,2b84203eec794c60,Data Scientist - Insurance,Data Scientist,N
ITL USA,1adae89d9c4cd287,Data Scientist,Data Scientist,N
Prosper,cf0ff2d35b25e8b6,Senior Data Scientist,Data Scientist,N
eBay Inc,c9bdb952f06e70a5,"Data Scientist, Product Analytics",Data Scientist,N
Blue Owl,6aa6d001583d7912,Senior Data Analyst,Data Analyst,N
Atomwise,45c6ca6a596222d0,Business Analyst,Business Analyst,N
American Giant,8a7280bb3ee0cbd9,Data Analyst,Data Analyst,N
Macy's,654f7103fdb02636,"Analyst, Marketing Analytics",Marketing Analyst,Y
"Faneuil, Inc",a2e57b8382f69123,Data Analyst,Data Analyst,N
Open Systems AG,1c0af4d72af20f7e,Operations Data Analyst,Data Analyst,N
Swish Analytics,f90f72f560a62178,Data Scientist,Data Scientist,N
WrkShp,9277fc376675cf8a,Data Analyst,Data Analyst,N
Sybest,8994f6a4a79f8819,Data Analyst,Data Analyst,N
Madison Reed,e60f12944718a144,Growth Marketing Analyst,Marketing Analyst,N
Veem,efb4d52efe4960d2,Business Analyst,Business Analyst,N
Marqeta,1f0b1ec62a027fb0,"Data Analyst, Marketing & Developer Experience",Data Analyst,N
Aktana,782a5b2dc3d37878,Business Analyst,Business Analyst,N
Vastek Group Inc,7d486e4b255d7902,Business Analyst,Business Analyst,N
Plexuss,90f009d018f8859e,Data Analyst - Product and UX,Data Analyst,N
Anaplan,70fe9f5b3b2f1632,Business Analyst,Business Analyst,N
Hired,7a3af8c40410263b,Business Intelligence Analyst,BI Analyst,N
Retrace Labs,c6addb997485c790,Data Scientist,Data Scientist,N
Vivino,3d996b2670183970,Growth Analyst,Marketing Analyst,N
